-9999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
46,3.2378,3.3125,2.8196,2.8362,2.879,3.1313,2.6738,3.2642,3.3363,2.6924,3.145,3.1522,0,0,0,0
47,0.71994,0.66614,0.4447,0.61804,0.38485,0.47267,0.43563,0.48122,0.42411,0.45165,0.687,0.63768,0,0,0,0
48,2.72,2.2612,2.3422,2.3316,1.7109,2.3784,2.7112,2.6657,2.5587,2.5335,2.5439,2.6596,0,0,0,0
49,1.2075,1.1258,0.91694,0.92259,1.0007,1.0793,1.119,1.1341,1.128,0.92199,1.219,1.1741,0,0,0,0
50,0.51165,0.47403,0.27265,0.26289,0.34591,0.18722,0.38321,0.29146,0.1964,0.26106,0.34667,0.49136,0,0,0,0
51,4.9973,5.7991,5.3891,5.519,6.0222,5.8843,4.8342,5.977,6.2828,5.6612,5.0676,5.4729,0,0,0,0
52,1.4835,1.4135,1.1379,1.4317,1.2574,1.2745,1.1709,1.2234,1.2399,1.3147,1.3323,1.387,0,0,0,0
53,3.3528,3.4466,2.536,2.7028,2.6927,3.0696,2.3673,3.1141,3.267,2.5139,3.2306,3.1566,0,0,0,0
54,3.7095,2.9201,3.2814,3.6916,2.8652,3.2413,3.7186,3.4743,3.325,3.2587,3.3389,3.5766,0,0,0,0
55,0.64327,0.6355,0.32827,0.3456,0.41982,0.28702,0.63951,0.39623,0.26101,0.41903,0.60581,0.76726,0,0,0,0
56,2.8564,2.5816,2.5377,2.8068,2.6619,2.9582,2.6191,2.5718,2.9576,2.4436,2.5682,2.5027,0,0,0,0
57,1.2946,1.2111,0.95997,0.80613,1.0852,0.99265,1.0454,1.0743,0.99388,0.91794,1.158,1.128,0,0,0,0
58,2.8673,2.8844,3.4269,2.7027,2.8752,3.4213,2.9641,2.5085,2.7033,2.4888,2.9671,3.4315,0,0,0,0
59,4.5905,5.3445,4.8838,5.1536,5.3695,5.5055,4.9582,5.563,5.8454,4.9705,4.5449,4.6455,0,0,0,0
60,2.4942,2.3528,2.0426,2.1581,2.1489,2.1703,1.9762,1.9064,1.592,1.8643,2.0354,2.4375,0,0,0,0
61,1.6821,1.7189,1.1373,1.2418,1.438,1.5292,1.4672,1.688,1.7877,1.4878,1.7102,1.7059,0,0,0,0
62,2.4722,2.2083,2.0421,1.8561,2.2721,2.1966,1.9834,2.2163,1.9331,1.8195,2.4576,2.1617,0,0,0,0
63,4.2839,3.8421,4.0308,4.0204,4.0561,4.0701,4.4155,3.8937,4.0565,3.8808,3.9707,4.4965,0,0,0,0
64,4.5208,5.3881,4.5821,4.4717,5.287,5.2869,5.0478,5.2636,5.3306,4.6277,4.2094,3.8625,0,0,0,0
65,3.0145,3.1704,2.414,2.6342,2.9793,3.1675,2.7074,3.1363,3.1609,2.4814,3.0593,2.8837,0,0,0,0
66,0.67114,0.69649,0.47183,0.37574,0.49872,0.39683,0.72405,0.57175,0.4883,0.38988,0.65955,0.81404,0,0,0,0
67,2.0853,2.0781,2.0571,2.3038,2.1039,2.3915,1.7903,2.1466,2.3486,1.9264,1.8329,1.8929,0,0,0,0
68,1.4896,1.4106,1.015,0.97392,1.2597,1.1838,1.2753,1.2595,1.1724,1.0719,1.413,1.429,0,0,0,0
69,3.5451,3.2079,3.222,3.4029,3.3973,3.391,3.662,3.278,3.2727,3.1111,3.3064,3.5784,0,0,0,0
70,3.1411,3.5993,3.2237,3.34,3.7736,3.8347,3.6043,3.6199,3.7017,3.3525,2.903,2.8673,0,0,0,0
71,3.5334,3.5988,2.6411,2.9611,2.7856,3.2931,2.5822,3.2063,3.4055,2.3999,3.3354,3.3683,0,0,0,0
72,2.1657,2.0071,1.9588,1.7439,2.0351,2.1283,1.933,2.1572,1.7965,1.6729,2.3477,1.9145,0,0,0,0
73,3.4726,3.3397,3.1931,2.9851,3.2944,3.1618,3.2012,2.8601,3.0867,2.8822,3.1667,3.6238,0,0,0,0
74,3.1286,3.3323,2.7448,2.582,3.2164,3.0858,3.3298,3.3765,3.6335,2.959,3.2437,3.1911,0,0,0,0
75,4.3497,4.2424,3.6233,3.6631,3.8513,4.1102,3.7604,4.0285,4.1904,2.8948,3.925,3.9656,0,0,0,0
76,0.83704,0.7025,0.54527,0.96656,0.84604,0.91363,0.62748,0.70554,0.76417,0.71821,0.51784,0.76013,0,0,0,0
77,0.8387,0.76702,0.54208,0.43476,0.56891,0.42724,0.79979,0.6059,0.62033,0.66405,0.88747,0.97476,0,0,0,0
78,2.4798,2.5302,2.6785,2.5598,2.6958,2.3564,2.1533,2.3777,2.1812,2.2843,3.0146,2.1434,0,0,0,0
79,4.1474,3.9302,3.8543,3.57,3.9705,3.6036,3.5045,2.9138,3.2983,3.3543,3.6429,4.1778,0,0,0,0
80,3.7874,3.4893,2.4228,2.2229,3.0938,2.9287,3.7846,3.5725,3.6872,3.0508,3.6354,3.5605,0,0,0,0
81,4.3656,4.2861,3.127,3.4625,3.12,3.8476,2.9433,3.8107,3.6281,2.3604,3.8645,3.9622,0,0,0,0
82,0.61293,0.49539,0.41363,0.52021,0.53148,0.57805,0.41105,0.37443,0.4857,0.50405,0.36796,0.56493,0,0,0,0
83,1.9831,1.8236,1.5028,1.3604,1.7243,1.8002,1.7255,1.7623,1.5515,1.4006,2.0513,1.6259,0,0,0,0
84,3.2177,3.2083,2.8967,2.7999,2.955,3.0126,2.6353,2.3511,2.4073,2.4713,3.0333,3.1395,0,0,0,0
85,2.2956,1.8845,1.2206,1.0003,1.5523,1.3381,2.2362,1.8902,1.9635,1.6788,2.5666,2.3615,0,0,0,0
86,4.3128,4.4007,3.4944,3.6794,3.3676,3.8742,3.1527,3.8261,3.7744,2.5362,3.669,3.9724,0,0,0,0
87,1.8738,1.6276,1.3338,1.3016,1.5963,1.5903,1.6478,1.6417,1.4906,1.3523,1.9621,1.5922,0,0,0,0
88,4.2466,4.0669,4.2849,3.8676,4.3408,4.1166,3.6805,3.4066,3.8048,3.6544,4.0403,4.3479,0,0,0,0
89,2.6703,2.0639,1.5578,1.2407,1.7106,1.4104,2.3321,2.114,2.1491,1.9433,2.9427,2.6493,0,0,0,0
90,4.0446,4.1912,3.2682,3.5283,3.0787,3.762,2.7508,3.7218,3.2102,2.0042,3.5664,3.8869,0,0,0,0
91,1.6707,1.5457,1.2667,1.0893,1.4084,1.2005,1.6009,1.4334,1.4454,1.2785,1.6495,1.6759,0,0,0,0
92,2.3898,2.013,1.8038,1.7508,2.023,2.0202,1.9951,1.9639,1.8706,1.6728,2.4175,1.8652,0,0,0,0
93,3.3183,3.2904,3.5681,3.0845,3.5042,3.6939,3.3093,3.4682,3.1449,3.3819,3.6721,3.501,0,0,0,0
94,4.7939,4.9015,3.9842,4.3482,4.4895,5.25,5.4126,4.879,4.9715,4.3893,4.7396,4.8341,0,0,0,0
95,1.7422,1.5291,1.2112,1.2313,1.4271,1.2878,1.4298,1.4656,1.4059,1.3774,1.701,1.4601,0,0,0,0
96,3.8799,3.8293,2.7978,3.3054,2.9539,3.2562,3.0142,2.7003,2.4759,2.5524,2.6354,2.8422,0,0,0,0
97,0.5443,0.44112,0.28106,0.26496,0.40453,0.20625,0.44194,0.30854,0.33176,0.32877,0.27643,0.51858,0,0,0,0
98,0.27018,0.2145,0.12625,0.11431,0.12764,0.10014,0.12462,0.12722,0.092516,0.13969,0.24865,0.2865,0,0,0,0
99,2.8192,2.4882,2.6495,2.36,2.5818,2.5725,2.2011,1.973,1.9613,2.0776,2.5175,2.5768,0,0,0,0
