-9999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
199,1.0235,0.89276,0.6811,0.59729,0.85618,0.62327,0.8795,0.80014,0.78845,0.78117,0.88284,0.9841,0,0,0,0
200,2.0971,1.5947,1.6264,1.8066,1.7371,1.7846,1.8431,2.0436,1.8138,1.7434,2.0242,1.8992,0,0,0,0
201,3.701,3.1161,3.3949,3.3008,3.4088,3.5742,3.7595,3.272,3.5917,3.4653,3.0734,2.9887,0,0,0,0
202,0.38573,0.21363,0.14889,0.10277,0.16317,0.18613,0.36153,0.13026,0.2201,0.21637,0.10815,0.2804,0,0,0,0
203,4.8304,4.8314,3.6836,4.2271,4.7126,4.9487,4.2001,4.5442,4.8695,4.2961,4.7847,4.8539,0,0,0,0
204,5.5632,5.8808,5.5311,5.2193,5.537,6.196,5.8114,6.5226,5.816,5.3426,5.6575,6.3011,0,0,0,0
205,1.1056,1.0165,0.69259,0.67408,0.84527,0.69381,0.95219,0.79442,0.69611,0.68494,0.98168,1.0631,0,0,0,0
206,0.24365,0.29942,0.14639,0.17694,0.21945,0.2084,0.15861,0.19781,0.15648,0.17751,0.28743,0.24831,0,0,0,0
207,2.6248,2.0683,2.0525,2.3411,2.1505,2.2541,2.3924,2.5658,2.3118,2.2044,2.4824,2.3257,0,0,0,0
208,4.0926,3.5118,3.7209,3.7953,3.9362,3.9331,4.3751,3.7694,4.0969,3.8091,3.7768,3.3927,0,0,0,0
209,0.4289,0.23502,0.16925,0.17075,0.25326,0.12525,0.38583,0.16254,0.14605,0.16024,0.092235,0.20859,0,0,0,0
210,5.1967,5.3288,3.8925,4.253,4.9118,5.1121,5.3201,5.2921,4.8494,4.5855,5.3502,5.4211,0,0,0,0
211,4.0171,4.0718,3.3719,3.7106,4.0364,4.1848,3.7194,4.0009,4.0962,3.597,3.9077,3.8878,0,0,0,0
212,1.1976,1.0669,0.72667,0.75273,0.91705,0.71297,1.0644,0.84705,0.77171,0.79345,1.1012,1.1991,0,0,0,0
213,3.1519,2.5533,2.564,2.9767,2.6072,2.7544,2.8982,3.0464,2.728,2.7224,2.9947,2.9679,0,0,0,0
214,1.7455,1.7932,1.8815,2.0346,1.8684,2.3409,1.6235,1.9465,1.9624,1.7358,1.5006,1.8151,0,0,0,0
215,0.60091,0.52797,0.37306,0.26962,0.47392,0.2914,0.49384,0.3972,0.38893,0.38572,0.40685,0.59663,0,0,0,0
216,0.3217,0.19844,0.12797,0.13275,0.19236,0.1428,0.34015,0.18106,0.16212,0.1551,0.10056,0.25628,0,0,0,0
217,0.48688,0.55908,0.55747,0.48293,0.51465,0.52393,0.66579,0.70803,0.64103,0.56757,0.5166,0.64316,0,0,0,0
218,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
